bedrooms,bathrooms,sqft_living,floors,price
3,1.5,1340,1.5,313000
3,2.0,1930,1.0,342000
3,2.25,2000,1.0,420000
4,2.5,1940,1.0,550000
2,1.0,880,1.0,490000
2,2.0,1350,1.0,335000
4,2.5,2710,2.0,482000
3,2.5,2430,1.0,452500
4,2.0,1520,1.5,640000
3,1.75,1710,1.0,463000
3,1.75,2330,1.0,588500
3,1.0,1090,1.0,365000
3,1.5,1200,1.0,242500
3,1.5,1570,1.0,419000
4,3.0,3110,2.0,367500
3,1.75,1370,1.0,257950
3,1.5,1180,1.0,275000
3,1.75,2240,2.0,750000
4,1.0,1450,1.0,435000
3,2.25,1750,2.5,626000
4,2.5,2730,2.0,612500
4,1.75,1600,1.0,495000
3,2.5,2090,1.0,285000
3,1.75,2360,1.0,615000
4,2.25,2200,1.5,698000
5,2.5,2820,2.0,675000
3,2.5,2600,1.0,790000
4,1.75,1560,1.0,382500
4,2.5,2860,2.0,499950
4,2.0,1820,1.5,650000
4,2.5,2820,2.0,625000
4,2.5,3630,1.5,400000
3,2.5,3240,2.0,604000
2,1.0,800,1.0,440000
3,3.0,1850,1.0,287200
3,2.0,1960,1.0,403000
3,2.5,2390,1.0,750000
3,2.25,1580,1.0,335000
4,2.0,1480,1.0,260000
2,1.0,850,1.0,308500
3,2.5,1770,2.0,439950
2,1.0,1210,1.0,235000
3,1.0,1160,1.0,315000
3,2.25,1970,2.0,437500
3,2.5,1930,2.0,407500
3,2.5,1270,3.0,445700
4,2.5,3310,2.0,838000
4,2.75,2710,2.0,630000
3,1.75,2910,1.5,550000
3,2.0,2710,1.5,805000
3,1.75,1800,1.0,284000
5,2.5,2210,1.0,470000
4,1.5,1920,1.0,430000
4,1.75,2190,1.0,491500
5,3.25,3660,2.0,785000
3,3.25,1320,2.0,385000
2,2.5,1630,2.0,295000
4,2.5,3310,2.0,555000
3,2.5,2680,2.0,459990
4,3.25,2730,1.0,625000
3,2.5,2540,2.0,300000
4,2.75,2920,2.0,625000
2,1.0,900,1.0,553000
3,2.5,1650,1.0,379880
3,1.0,1010,1.0,310000
2,2.5,2680,1.0,775000
3,2.5,2200,1.0,365000
4,2.5,2530,2.0,331950
3,2.5,2850,2.0,783500
4,2.0,2280,1.0,628000
3,2.5,1900,2.0,560000
3,1.0,1330,1.0,900000
2,3.0,1270,2.0,531000
4,3.0,2170,2.0,831000
4,2.5,2730,2.0,780000
4,2.5,2120,1.0,755000
3,2.5,2490,2.0,705380
4,2.25,1990,1.0,627000
4,3.0,3690,2.0,865000
2,1.0,2540,1.0,580000
3,2.25,1800,1.0,410000
4,3.0,2340,1.0,485000
2,1.75,2110,1.0,400000
2,1.0,1140,1.0,549000
3,1.75,1480,2.5,620000
2,3.0,1410,2.0,405000
2,1.0,1200,1.0,232000
